Program,Node Count,Nodes Collapsed,Max Cell Density,Time(ms)

eq,8,1,1.0,172
split,9,2,0.4,150
stack,62,1,0.8888888888888888,164
complete_callgraph_1,120,12,0.48,253
complete_callgraph_2,89,1,0.24242424242424243,226
complete_callgraph_3,89,1,0.23529411764705882,230
complete_callgraph_4,130,2,0.21153846153846154,253
eq-split-eqv,30,0,0.2222222222222222,177
split-split-eqv,28,2,0.4,159
stack-split-eqv,98,0,0.2222222222222222,200
complete_callgraph_1-split-eqv,205,7,0.48,288
complete_callgraph_2-split-eqv,157,0,0.24242424242424243,260
complete_callgraph_3-split-eqv,157,0,0.23529411764705882,264
complete_callgraph_4-split-eqv,220,1,0.21153846153846154,313
